*	542			
กวาด	verb	1	to sweep.	From Proto-Tai *kwaːtᴰ (“to sweep”), from Old Chinese 刮 (OC *kroːd, “to wipe; to sweep”). Cognate with Lao ກວາດ (kuāt), Lü ᦦᦱᧆ (k̇waad), Shan ၵႂၢတ်ႇ (kwààt), Ahom ??? (kat). Possibly related to กราด (gràat) and คราด (krâat).
กว่า	prep	1	(1) (in comparisons) than, .er than (2) (colloquial) over, more than (3) (usually followed by จะ (jà)) by the time that	Ultimately from Middle Chinese 過 (MC kuɑ, kuɑᴴ, “to surpass, to exceed; than”). Cognate with Lao ກວ່າ (kuā, “than, more than”), Shan ၵႂႃႇ (kwàà, “to go”), Vietnamese quá (“to exceed; very, excessive”).
กว่า	verb	1	go, leave	Ultimately from Middle Chinese 過 (MC kuɑ, kuɑᴴ, “to surpass, to exceed; than”). Cognate with Lao ກວ່າ (kuā, “than, more than”), Shan ၵႂႃႇ (kwàà, “to go”), Vietnamese quá (“to exceed; very, excessive”).
กว้าง	adj	1	wide, broad.	From Middle Chinese 廣 (MC kwɑŋ^X). Cognate with Northern Thai ᨠ᩠ᩅ᩶ᩣ᩠ᨦ, Lao ກວ້າງ (kuāng), Lü ᦦᦱᧂᧉ (k̇waang²), Shan ၵႂၢင်ႈ (kwāāng), Ahom [Term?], Bouyei gvaangs, Zhuang gvangq. Compare Sui faangc (“wide, broad”), Southern Kam kuangt (“wide, broad”).
กะจั๊ว	noun	1	(1) (colloquial) cockroach. (2) (colloquial) pimp; gigolo.	From Teochew 虼蚻 (ga1 zuah8).
กะลอจี๊	noun	1	a glutinous rice dumpling with topping of black and white sesame seeds, sugar and crusted peanuts.	From Teochew 膠羅錢／胶罗钱 (ga¹ lo⁵ zin⁵).
กังฉิน	adj	1	corrupt; dishonest.	From Teochew 奸臣 (gang1 cing5, “treacherous minister”).
กังฉิน	noun	1	corrupt or dishonest public officer.	From Teochew 奸臣 (gang1 cing5, “treacherous minister”).
กังฟู	noun	1	kung fu	From Mandarin 功夫 (gōngfu).
กังไส	noun	1	Jingdezhen porcelain.	From Min Nan 江西 (Kang-sai, “Jiangxi (province)”), which is the origin of the goods.
กัน	noun	2	(1) (archaic) a type of war elephants employed to surround and protect a military body. (2) a type of barges in the royal barge procession, used to protect a royal barge on both sides.	From Middle Chinese 干 (MC kɑn, “to shield; to protect”). Cognate with Lao ກັນ (kan), Tai Dam ꪀꪽ, Shan ၵၼ် (kǎn), Khmer កាល់ (kal).
กัน	verb	2	(1) to hinder; to prevent; to bar. (2) to reserve. (3) to set aside; to keep (out, away, etc).	From Middle Chinese 干 (MC kɑn, “to shield; to protect”). Cognate with Lao ກັນ (kan), Tai Dam ꪀꪽ, Shan ၵၼ် (kǎn), Khmer កាល់ (kal).
กากี่นั้ง	noun	1	one of us; people in one's own circle or side.	From Teochew 家己人 (ga¹ gi⁷ nang⁵).
กาด	noun	1	Chinese cabbage.	Compare Old Chinese 芥 (OC *kreːds, “mustard plant”). Cognate with Lao ກາດ (kāt), Shan ၵၢတ်ႇ (kààt).
กาบ	noun	1	(1) bract; spathe. (2) shell; husk.	From Middle Chinese 甲 (MC kˠap̚, “shell; armor”). Cognate with Northern Thai ᨠᩣ᩠ᨷ, Lao ກາບ (kāp), Khün ᨠᩣ᩠ᨷ, Lü ᦂᦱᧇ (k̇aab), Shan ၵၢပ်ႇ (kààp), Ahom ??? (kap), Nong Zhuang gaeb.
กาว	adj	1	(slang, humorous) crazy, silly, or out of one's mind, as if being intoxicated with glue.	From Middle Chinese 膠 (MC kˠau, “glue”). Cognate with Lao ກາວ (kāo), Burmese ကော် (kau), Khmer កាវ (kaaw), Vietnamese keo.
กาว	noun	1	(1) adhesive, as glue, rubber cement, adhesive tape, etc. (2) sniffing glue, a type of addictive inhalant.	From Middle Chinese 膠 (MC kˠau, “glue”). Cognate with Lao ກາວ (kāo), Burmese ကော် (kau), Khmer កាវ (kaaw), Vietnamese keo.
กิ่งทองใบหยก	noun	1	(idiomatic, often used to describe a loving couple) ideal combination; well-matched couple; perfect pair.	From กิ่ง (gìng, “branch”) + ทอง (tɔɔng, “gold”) + ใบ (bai, “leaf”) + หยก (yòk, “jade”); literally "golden branches, jade leaves".<br>Compare Chinese 金枝玉葉／金枝玉叶 (jīnzhīyùyè, literally “golden branches, jade leaves”), 珠聯璧合／珠联璧合 (zhūliánbìhé, literally “strings of pearls, girdles of jade”).
กี่	adv	1	(1) how many, how much (followed by classifier) (2) several, not too many	From Proto-Tai *kiːꟲ (“how many; several”), from Middle Chinese 幾 (MC kɨi^X). Cognate with Northern Thai ᨠᩦ᩵, Lü ᦂᦲᧈ (k̇ii¹), Khün ᨠᩦ᩵, Tai Nüa ᥐᥤᥱ (kǐ), Ahom ?? (kī).
กี่	noun	2	(1) loom (weaving machine). (2) bookbinding machine.	Borrowed from Middle Chinese 機 (MC kɨi, “loom; machine”). Cognate with Northern Thai ᨠᩦ᩵, Lao ກີ່ (kī), Lü ᦂᦲᧈ (k̇ii¹), Khün ᨠᩦ᩵, Shan ၵီႇ (kìì), Tai Nüa ᥐᥤᥱ (kǐ).
กุนซือ	noun	1	(1) (colloquial) advisor; counsellor. (2) football head coach	Borrowed from Teochew 軍師／军师 (gung1 se1) or Hokkien 軍師／军师 (kun-sir, “military counsellor”).
กุนเชียง	noun	1	Chinese sausage.	Borrowed from Teochew 灌腸／灌肠 (“sausage”).
กุยช่าย	noun	1	garlic chive.	From Min Nan 韭菜.
กุลี	noun	1	coolie.	Borrowed from English coolie, from Hindi क़ुली (qulī). Compare Lao ກຸລີ (ku lī), Turkish köle, Bengali কুলী (kulī), Tamil கூலி (kūli), Chinese 苦力 (kǔlì).
กูด	noun	1	moss, fern, bracken.	From Proto-Tai *kuːtᴰ (“fern”), from Middle Chinese 蕨 (MC kʉɐt̚, “bracken”). Cognate with Lao ກູດ (kūt), Tai Nüa ᥐᥧᥖᥴ (kút), Shan ၵုတ်ႇ (kùt).
กู่ฉิน	noun	1	(music) guqin	From Mandarin 古琴 (gǔqín, “ancient stringed instrument”).
ก่อ	verb	1	(1) to cause; to create; to generate. (2) to construct, to build; to pile (up), to heap (up). (3) to start; to commence; to launch. (4) to light; to ignite; to set fire (to). (5) to commit; to carry out; to perform.	From Proto-Tai *koːᴮ (“to build”), from Old Chinese 構 (OC *koːs). Cognate with Lao ກໍ່ (kǭ), Tai Nüa ᥐᥨᥝᥱ (kǒw), Northern Thai ᨠᩬᩴ᩵, Shan ၵေႃႇ (kàù), Ahom ??? (kō).
ก้อย	noun	2	dish consisting of raw meat denatured by acidity, usually from lime juice.	From Chinese 膾 (MC kuɑiᴴ). Compare Isan ก้อย, Lao ກ້ອຍ (kǭi). See also Vietnamese gỏi.
ก้าง	noun	1	fishbone	From Proto-Tai *kaːŋꟲ (“fishbone”), from Middle Chinese 鯁 (MC kˠæŋ^X, “fishbone”). Cognate with Lao ກ້າງ (kāng), Tai Nüa ᥐᥣᥒᥲ (kàang), Northern Thai ᨠ᩶ᩣ᩠ᨦ, Shan ၵၢင်ႈ (kāāng).
ก้าน	noun	1	(1) stem, stalk, petiole. (2) midrib of a leaf or a pinnate leaflet.	From Proto-Tai *kaːnꟲ, from Middle Chinese 幹 (MC kɑnᴴ, “body, trunk”). Cognate with Lao ກ້ານ (kān), Tai Nüa ᥐᥣᥢᥲ (kàan), Shan ၵၢၼ်ႈ (kāān).
ก๋ง	noun	1	maternal grandfather.	Borrowed from Min Nan 公 (kang / kong, “respectful man”).
ก๋วยเตี๋ยว	noun	1	(1) noodle, kuy teav, a flat rice noodle similar to spaghetti noodles (2) kway teow, a kind of Chinese soup.	Borrowed from Teochew 粿條／粿条 (guê² diao⁵, “ricecake strips”).
ขนม	noun	1	(1) snack. (2) sweets; dessert.	Uncertain. Suggested by Charatphon Patiyan to be from ข้าว (kâao, “rice”) + หนม (“sweet”). Compare Lao ເຂົ້າໜົມ (khao nom), Northern Thai ข้าวหนม.<br>Possibly related to Old Chinese 粔籹 (OC *ɡaʔ naʔ), a delicacy from the state of Chu.
ขวัญ	adj	1	(1) (figurative) good; auspicious; propitious. (2) (figurative) good; pleasant; pleasing. (3) (figurative) lucky; fortunate; blessed. (4) (figurative) loved; beloved; cherished; dear; darling.	Compare Middle Chinese 魂 (MC ɦuən, “spiritual soul”). Cognate with Lao ຂວັນ (khuan), Lü ᦧᧃ (ẋwan), Shan ၶႂၼ် (khwǎn), Ahom ???? (khon).
ขวัญ	noun	1	(1) cowlick. (2) something traditionally believed to stay with anyone to morally protect or support that one. (3) (by extension) élan vital; life force. (4) (figurative) courage; morale; spirit. (5) (figurative) good; goodness; auspice; auspiciousness; prosperity. (6) (figurative) luck; fortune; blessing.	Compare Middle Chinese 魂 (MC ɦuən, “spiritual soul”). Cognate with Lao ຂວັນ (khuan), Lü ᦧᧃ (ẋwan), Shan ၶႂၼ် (khwǎn), Ahom ???? (khon).
ขวา	noun	1	right side (opposite of left).	From Old Chinese 右 (OC *ɢʷɯʔ, *ɢʷɯs, “right”). Cognate with Northern Thai ᨡ᩠ᩅᩣ, Lao ຂວາ (khuā), Lü ᦧᦱ (ẋwaa), Shan ၶႂႃ (khwǎǎ), Zhuang gvaz, Bouyei gvaz. Compare Sui fal (“right”), Southern Kam wap (“right”).
ขวาง	verb	1	(1) To lie athwart. (2) To obstruct.	From Middle Chinese 橫 (MC ɦˠwæŋ, “across, horizontal, lateral”). Cognate with Lao ຂວາງ (khuāng), Shan ၶႂၢင် (khwǎǎng), Ahom ???? (khraṅ).
ขา	noun	1	(1) (anatomy) leg. (2) something resembling or suggesting a leg or legs, as a table leg, chair leg, trouser leg, easel, tripod, etc.	From Proto-Southwestern Tai *qaːᴬ (“leg”), from Proto-Tai *p.qaːᴬ (“leg”). Cognate with Northern Thai ᨡᩣ, Lao ຂາ (khā), Lü ᦃᦱ (ẋaa), Shan ၶႃ (khǎǎ), Tai Nüa ᥑᥣᥴ (xáa), Ahom ?? (khā), Bouyei gal, Zhuang ga. Within Kra-Dai, compare Sui bal and ggal (“leg”) and Proto-Kra *C-kaᴬ. Compare also Old Chinese 骹 (OC *kʰraːw, “leg”), Min languages 跤 (“leg, foot”), Proto-Austronesian *paqa (“thigh”).
ขาก	verb	1	to spit out; to hawk out (phlegm)	From Middle Chinese 喀 (MC kʰˠæk̚), possibly onomatopoeic. Cognate with Northern Thai ᨡᩣ᩠ᨠ, Lao ຂາກ (khāk) or ຄາກ (khāk), Lü ᦃᦱᧅ (ẋaak), Zhuang gak or gag, Zuojiang Zhuang hak.
ขิง	noun	1	ginger.	From Proto-Tai *χiːŋᴬ (“ginger”). Cognate with Lao ຂີງ (khīng), Lü ᦃᦲᧂ (ẋiing), Tai Dam ꪄꪲꪉ, Tai Nüa ᥑᥤᥒᥴ (xíng), Shan ၶိင် (khǐng), Ahom ???? (khiṅ), Bouyei hingl, Zhuang hing, Zuojiang Zhuang hing. Compare Middle Chinese 薑 (MC kɨɐŋ, “ginger”), Proto-Hlai *kʰɯːŋ (“ginger”).
ขิม	noun	1	(music) a hammered dulcimer used in Central Thai classical music.	From Middle Chinese 琴 (MC ɡˠiɪm, “Chinese lute”). Cognate with Lao ຂິມ (khim), Zhuang gimz or ginz, Zuojiang Zhuang gimz, Khmer ឃឹម (khɨm).
ขี่	verb	1	to ride, to drive	From Proto-Southwestern Tai *kʰwiːᴮ (“to ride”), from Middle Chinese 騎 (MC ɡˠiᴇ, “to ride”). Cognate with Lao ຂີ່ (khī), Lü ᦃᦲᧈ (ẋii¹), Tai Dam ꪄꪲ꪿, Shan ၶီႇ (khìì), Ahom ?? (khī), Zhuang gwih, Nong Zhuang kiq.
ขุด	verb	1	to dig; to excavate.	From Middle Chinese 掘 (MC ɡɨut̚, ɡʉɐt̚, “to dig”). Cognate with Lao ຂຸດ (khut), Lü ᦃᦳᧆ (ẋud), Shan ၶုတ်း (khút), Ahom ???? (khut), Bouyei gud, Zhuang gud or goed or hud.
ขุน	adj	1	chief; leading; principal; main; major.	From Middle Chinese 君 (MC kɨun). Cognate with Northern Thai ᨡᩩᩁ, Lao ຂຸນ (khun), Lü ᦃᦳᧃ (ẋun), Shan ၶုၼ် (khǔn), Tai Nüa ᥑᥧᥢᥴ (xún), Ahom ???? (khun). Compare Old Khmer ខុណ (khuṇa, “a rank of the mandarinate”), Modern Khmer ខុន (khon) and ឃុន (khun).
ขุน	noun	1	(1) (archaic) chief, lord, master, leader; ruler, administrator, person in authority, person in charge; monarch, sovereign; also used as an honorific. (2) (historical) the Thai noble rank above หมื่น (mʉ̀ʉn) and below หลวง (lǔuang); holder of this rank. (3) (chess) king.	From Middle Chinese 君 (MC kɨun). Cognate with Northern Thai ᨡᩩᩁ, Lao ຂຸນ (khun), Lü ᦃᦳᧃ (ẋun), Shan ၶုၼ် (khǔn), Tai Nüa ᥑᥧᥢᥴ (xún), Ahom ???? (khun). Compare Old Khmer ខុណ (khuṇa, “a rank of the mandarinate”), Modern Khmer ខុន (khon) and ឃុន (khun).
ขุม	noun	1	(1) pit; hole. (2) (theology) pit (of hell). (3) trove (of treasure). (4) (figurative) repository; source; storehouse. (5) pore: minute opening, as in the skin or a leaf. (6) (slang) extent; degree.	From Proto-Tai *C̬.kumᴬ (“pit”), from Middle Chinese 坎 (MC kʰʌm^X, “pit, hole”). Cognate with Isan ขุม, Lao ຂຸມ (khum), Shan ၶုမ် (khǔm), Tai Dam ꪄꪴꪣ, Tai Nüa ᥑᥧᥛᥴ (xúm), Ahom ??? (khuṃ), Zhuang gumz, Zuojiang Zhuang kumq.
ขุ่น	adj	1	muddy; turbid; murky	From Middle Chinese 混 (MC ɦuən^X). Cognate with Lao ຂຸ່ນ (khun). Compare Zuojiang Zhuang goenj.
คราม	adj	2	indigo.	From Proto-Southwestern Tai *ɡraːmᴬ (“indigo”), from Proto-Tai *ɡ.raːmᴬ (“indigo”), from Old Chinese 藍 (OC *ɡ·raːm, “indigo”). Cognate with Lao ຄາມ (khām), Shan ၶၢမ်း (kháám).
คราม	noun	2	indigo.	From Proto-Southwestern Tai *ɡraːmᴬ (“indigo”), from Proto-Tai *ɡ.raːmᴬ (“indigo”), from Old Chinese 藍 (OC *ɡ·raːm, “indigo”). Cognate with Lao ຄາມ (khām), Shan ၶၢမ်း (kháám).
คร้าน	adj	1	lazy; indolent.	From Proto-Southwestern Tai *ɡraːnꟲ² (“lazy”), from Old Chinese 懶 (OC *raːnʔ, “lazy”). Cognate with Northern Thai ᨣᩕ᩶ᩣ᩠ᨶ, Khün ᨤ᩶ᩣ᩠ᨶ, Lao ຄ້ານ (khān), Lü ᦆᦱᧃᧉ (xaan²), Shan ၶၢၼ်ႉ (khâ̰â̰n), Tai Nüa ᥑᥣᥢᥳ (xȧan).
คลอก	verb	1	(of fire) to encircle or surround closely or tightly and burn; to form an inescapable ring or circle and burn (someone or something) therein.	Uncertain. Compare Khmer កំលោច (kɑmlooc, “to burn to ashes”), Old Chinese 烙 (“to burn”).
คอ	noun	1	neck; throat.	From Proto-Southwestern Tai *ɣɔːᴬ² (“neck”), from Proto-Tai *ɣoːᴬ (“neck”), from Middle Chinese 喉 (MC ɦəu, “larynx; throat”). Cognate with Northern Thai ᨤᩬᩴ, Khün ᨤᩳ, Lao ຄໍ (khǭ), Tai Dam ꪁꪷ, Shan ၶေႃး (kháú), Tai Nüa ᥑᥨᥝᥰ (xöw), Phake ၵေႃ (khō), Ahom ??? (khō) or ???? (khrō), Zhuang hoz, Saek กฺ๊อ.
คอก	noun	1	(1) pen, enclosure, stable, stall, coop, sty, corral. (2) prison, jail, penitentiary.	Compare Middle Chinese 牿 (MC kuok̚). Cognate with Lao ຄອກ (khǭk), Shan ၶွၵ်ႈ (khāūk), Tai Dam ꪁꪮꪀ, Ahom ???? (khok), Saek กฺ้อก. Possibly doublet of คุก (kúk).
คะน้า	noun	1	(ผัก~) kai-lan; kale (Chinese broccoli, Brassica oleracea).	Borrowed from Teochew 芥藍／芥蓝 (kah4 na5). Doublet of กะหล่ำ (gà-làm).
คับ	adj	1	small; tight.	From Proto-Tai *ɡapᴰ; cognate with Lao ຄັບ (khap), Shan ၵပ်ႉ (kâ̰p). Compare Old Chinese 狹 (OC *ɡreːb, “narrow”).
คา	noun	1	(archaic) shackles for prisoner's neck, pillory, cangue.	From Old Chinese 枷 (OC *ɡa, *ɡal, *kraːl, “cangue”). Cognate with Lao ຄາ (khā), Lü ᦅᦱ (kaa), Saek ค๊า.
คา	verb	1	(1) to be stuck, to be lodged in. (2) to be left unfinished.	From Old Chinese 枷 (OC *ɡa, *ɡal, *kraːl, “cangue”). Cognate with Lao ຄາ (khā), Lü ᦅᦱ (kaa), Saek ค๊า.
คาน	noun	1	(1) shoulder pole. (2) shaft; beam.	From Proto-Tai *ɢaːnᴬ. Cognate with Northern Thai ᨣᩤ᩠ᨶ, Khün ᨣᩤ᩠ᨶ, Lao ຄານ (khān), Lü ᦅᦱᧃ (kaan), Shan ၵၢၼ်း (káán), Tai Nüa ᥐᥣᥢᥰ (käan), Phake ကꩫ် (kan), Ahom ??? (kan), Nong Zhuang ganz. Compare Middle Chinese 竿 (MC kɑn) or Old Chinese 竿 (OC *kaːn).
คำ	noun	2	gold.	From Old Chinese 金 (OC *krɯm). Cognate with Northern Thai ᨤᩴᩣ, Lao ຄຳ (kham), Lü ᦆᧄ (xam), Shan ၶမ်း (khám), Ahom ?? (khaṃ) or ??? (khraṃ), Zhuang gim, Saek กฺั๊ม.
คำหับ	noun	1	(historical) royal document sent to a foreign state in accompany with a gold sheet containing the same text, for the sake of comparison.	Borrowed from Min Nan 勘合.
คีบ	verb	1	to pinch; to grip.	From Middle Chinese 挾 (MC ɦep̚).
คีม	noun	1	pliers; pincers; tongs	From Proto-Southwestern Tai *ɡiːmᴬ (“pliers, tongs”), from Proto-Tai *ɡiːmᴬ (“pliers, tongs”), from Middle Chinese 鉗 (MC ɡˠiᴇm, “pliers, tongs”). Cognate with Lao ຄີມ (khīm), Tai Dam ꪁꪲꪣ, Shan ၵိမ်း (kím).
คุก	noun	1	(1) gaol; prison. (2) (slang) imprisonment; imprisonment sentence; gaol term.	Compare Old Chinese 牿 (OC *kuːɡ) or Middle Chinese 牿 (MC kuok̚). Cognate with Lao ຄຸກ (khuk), Tai Dam ꪅꪴꪀ, Khmer គុក (kuk). Possibly doublet of คอก (kɔ̂ɔk).
คุก	verb	1	(slang) to sentence to imprisonment; to imprison.	Compare Old Chinese 牿 (OC *kuːɡ) or Middle Chinese 牿 (MC kuok̚). Cognate with Lao ຄຸກ (khuk), Tai Dam ꪅꪴꪀ, Khmer គុក (kuk). Possibly doublet of คอก (kɔ̂ɔk).
คู่	clas	1	Classifier for pairs of items (people, things). 	From Proto-Tai *ɡuːᴮ (“pair”). Cognate with Lao ຄູ່ (khū), Lü ᦅᦴᧈ (kuu¹), Shan ၵူႈ (kūū). Compare Old Chinese 偶 (OC *ŋoːʔ, *ŋoːs, “pair”), Middle Chinese 偶 (MC ŋəu^X, ŋəuᴴ, “pair”).
คู่	noun	1	(1) pair. (2) even number. (3) couple; partner.	From Proto-Tai *ɡuːᴮ (“pair”). Cognate with Lao ຄູ່ (khū), Lü ᦅᦴᧈ (kuu¹), Shan ၵူႈ (kūū). Compare Old Chinese 偶 (OC *ŋoːʔ, *ŋoːs, “pair”), Middle Chinese 偶 (MC ŋəu^X, ŋəuᴴ, “pair”).
ค่า	noun	1	price, cost, fee.	From Middle Chinese 價 (MC kˠaᴴ). Cognate with Northern Thai ᨣ᩵ᩤ, Lao ຄ່າ (khā), Lü ᦅᦱᧈ (kaa¹), Shan ၵႃႈ (kāā), Tày chá. Compare Vietnamese cả (as in giá cả).
งวด	noun	1	appointed time; period; instalment.	Compare Middle Chinese 月 (MC ŋʉɐt̚, “moon; month”). Cognate with Lao ງວດ (ngūat).
งักปุ๊กคุ้ง	noun	1	(slang) a hypocrite.	Possibly from Cantonese 岳不群, the name of a character in the novel The Smiling, Proud Wanderer.
งั่ว	noun	1	(archaic) fifth son.	From Middle Chinese 五 (MC ŋuo^X, “five”). Cognate with Ahom ?? (ṅū).
งา	noun	2	tusk; ivory.	From Proto-Tai *ŋaːᴬ (“tusk; ivory”), from Middle Chinese 牙 (MC ŋˠa, “tooth; tusk”). Cognate with Lao ງາ (ngā), Lü ᦇᦱ (ngaa), Shan ငႃး (ngáá), Ahom ?? (ṅa), Bouyei ngaz, Zhuang nyaz.
งิ้ว	noun	2	Chinese opera.	From Cantonese 優／优 (yiu1 (Taishan), “actor”).
จริง	adj	1	(1) real; true; actual. (2) authentic; genuine.	From Middle Chinese 真 (MC t͡ɕiɪn). Cognate with Lao ຈິງ (ching).
จริง	adv	1	really; truly; indeed.	From Middle Chinese 真 (MC t͡ɕiɪn). Cognate with Lao ຈິງ (ching).
จวน	noun	1	(1) (historical) enclosure containing the residence and office of a public officer, especially the ruler of a town. (2) official residence of the governor of a province.	Compare Lao ຈວນ (chūan), Chinese 官 (guān).
จักจี้	verb	1	to be ticklish.	Compare Thai จี้ (jîi), Cantonese 胳肢 (gaak3 zi1).
จับฉ่าย	adj	1	(colloquial) miscellaneous, assorted, jumbled	From Min Nan 雜菜／杂菜 (cha̍p-chhài).
จับฉ่าย	noun	1	(1) (ต้ม~) Chinese mixed vegetable stew (2) (colloquial) hodgepodge, jumble	From Min Nan 雜菜／杂菜 (cha̍p-chhài).
จั่ว	verb	2	to draw a card; to turn up a card	Compare Teochew 拖 (tua1, “to drag; to tow; to haul”). Cognate with Lao ຈົ່ວ (chūa).
จาน	clas	1	Classifier for plates of food.	Compare Chinese 盞／盏 (zhǎn). Cognate with Lao ຈານ (chān), Khmer ចាន (caan).
จาน	noun	1	plate; dish	Compare Chinese 盞／盏 (zhǎn). Cognate with Lao ຈານ (chān), Khmer ចាន (caan).
จาม	verb	3	to hew; to hack (with an axe)	From Middle Chinese 斬 (MC t͡ʃˠɛm^X, “to cut off”).
จิ้ม	verb	1	(1) to dip into. (2) to poke; to spear (to pick up).	Compare Middle Chinese 浸 (MC t͡siɪmᴴ, “to soak”). Probably related with จุ่ม (jùm), จุ้ม (jûm), and จ่อม (jɔ̀ɔm).
จิ๊กโฉ่ว	noun	1	black vinegar sauce, eaten with dim sum	Borrowed from Teochew 浙 (zig4), contracted from 浙江 (zig4 gang1, “Zhejiang”) + 醋 (cou3, “vinegar”).

จีน	name	1	(ประเทศ~, เมือง~) China (a country in Asia)	Possibly from Sanskrit चीन (cīna) or Pali cīna, ultimately from Old Chinese 秦 (OC *zin).
จีน	noun	1	(1) (คน~, ชาว~) Chinese person. (2) (ภาษา~) any of the Chinese languages. (3) a type of traditional Thai songs, as จีนขวัญอ่อน (jiin-kwǎn-ɔ̀ɔn), จีนลั่นถัน (jiin-lân-tǎn), จีนขิมเล็ก (jiin-kǐm-lék), etc.	Possibly from Sanskrit चीन (cīna) or Pali cīna, ultimately from Old Chinese 秦 (OC *zin).
จีนแส	noun	1	(1) doctor; physician. (2) teacher; instructor.	From Teochew 先生 (sing1 sên1). Also, จีน (jiin, “China; Chinese”) was told replacing the first syllable of ซินแส (sin-sɛ̌ɛ).
จีบ	noun	1	fold; pleat; crimp.	Compare Middle Chinese 摺 (MC t͡ɕiᴇp̚).
จีบ	verb	1	(1) to fold; to pleat; to crimp. (2) to fold or roll (a betel leaf) into the shape of a cone or tube in order to make a paan. (3) to press the thumb against the index and stretch out the other fingers, as in performing a traditional dance of Thailand. (4) (slang) to hit on or go after (romantically or sexually).	Compare Middle Chinese 摺 (MC t͡ɕiᴇp̚).
