*	5251			
กฎหมายระหว่างประเทศ	noun	1	international law.	From กฎหมาย (gòt-mǎai, “law”) + ระหว่างประเทศ (rá-wàang-bprà-têet, “international”), a calque of English international law.
กฎหมายรัฐธรรมนูญ	noun	1	constitutional law.	From กฎหมาย (gòt-mǎai, “law”) + รัฐธรรมนูญ (rát-tà-tam-má-nuun, “constitution”), a Calque of English constitutional law. Cognate with Lao ກົດໝາຍລັດຖະທຳມະນູນ (kot māi lat tha tham ma nūn).
กฎหมายเอกชน	noun	1	private law.	กฎหมาย (gòt-mǎai, “law”) + เอกชน (èek-gà-chon, “private”); calque of English private law. Cognate with Lao ກົດໝາຍເອກະຊົນ (kot māi ʼē ka son).
กฐิน	noun	1	(1) (Buddhism) embroidery hoop used in making monastic robes. (2) (Buddhism) Kathina: annual festival during which robes are presented to priests, usually falling between the 1st day of the waning moon of the 11th month and the middle of the 12th month under the lunar calendar. (3) (Buddhism) Kathina: robe so presented. (4) (slang, influenced by or clipping of จองกฐิน) revenge; harm.	Borrowed from Pali kaṭhina (“embroidery hoop”). Cognate with Old Khmer kathœṇa (“cloth given to monks for the making of robes; annual festival during which such cloth is given to monks”); Modern Khmer កថិន (kɑɑkɑthən), កឋិន (kɑɑkɑthən); Lao ກະຖິນ (ka thin); Burmese ကထိန် (ka.htin).
กตัญญู	adj	1	grateful.	From Pali kataññū (“grateful”), ultimately from Sanskrit कृतज्ञ (kṛtajña, “acknowledging what has been done for one”). Cognate with Lao ກະຕັນຍູ (ka tan nyū).
กติกา	noun	1	(1) agreement; convention; covenant; pact. (2) regulation; rule.	Borrowed from Pali katikā (“agreement; pact”). Cognate with Khmer កតិកា (kaʼtekaa).
กติกาสัญญา	noun	1	(international law) pact: international agreement.	From กติกา (gà-dtì-gaa, “agreement; covenant; convention; pact; etc”) + สัญญา (sǎn-yaa, “agreement; contract; promise”). Compare Khmer កតិកាសញ្ញា (kaʼtekaa saññaa).
กถา	noun	1	treatise; elocution; words	From Pali kathā.
กนก	noun	1	gold	From Sanskrit कनक (kanaka) or Pali kanaka.
กบ	noun	2	(zoology) a frog, a tailless, stout-bodied amphibian of the order Anura.	From Proto-Tai *kɤpᴰ (“frog”). Cognate with Lao ກົບ (kop), Northern Thai ᨠᩫ᩠ᨷ, Tai Nüa ᥐᥨᥙᥱ (kǒp), Shan ၵူပ်း (kúúp), Ahom ???? (kup), Nong Zhuang gaep gaep, Bouyei gobt, Zhuang goep, Saek กั๊บ. Compare Proto-Be *kupᴰ² (“big frog”).
กบฏ	noun	1	(1) betrayal; insurgency; insurrection; rebellion; treason; revolt. (2) betrayer; insurgent; insurrectionist; rebel; traitor; revolter.	From Sanskrit कपट (kapaṭa, “cheating; deceit; deception; fraud; etc”); perhaps via Old Khmer កបត (kapata, “to practice deception; to play false; to betray one's trust; to go back on one's word”). Cognate with Modern Khmer ក្បត់ (kbɑt, “to betray; to deceive”).
กบฏ	verb	1	to betray; to commit insurgency; to commit insurrection; to commit treason; to rebel; to revolt.	From Sanskrit कपट (kapaṭa, “cheating; deceit; deception; fraud; etc”); perhaps via Old Khmer កបត (kapata, “to practice deception; to play false; to betray one's trust; to go back on one's word”). Cognate with Modern Khmer ក្បត់ (kbɑt, “to betray; to deceive”).
กบาล	noun	1	(1) head; top of skull. (2) earthenware plate or fragment.	From Sanskrit कपाल (kapāla, “skull”) or Pali kapāla (“skull”). Cognate with Khmer ក្បាល (kbaal), Northern Khmer กบาล, Lao ກະບານ (ka bān).
กบในกะลา	noun	1	(idiomatic) an ignorant or unknowledgeable person, one of very limited outlook (narrow-minded) and experience	กบ (gòp) + ใน (nai) + กะลา (gà-laa). Literally: a frog in a coconut shell. Compare Malay katak di bawah tempurung, Chinese 井底之蛙.
กบในกะลาครอบ	noun	1	(idiomatic) An ignorant or unknowledgeable person, one of very limited outlook and experience.	กบ (gòp) + ใน (nai) + กะลา (gà-laa) + ครอบ (krɔ̂ɔp). Literally: a frog in a covering coconut shell. Compare Malay katak di bawah tempurung, Chinese 井底之蛙.
กมรเตง	noun	1	(1) (archaic) lord (2) (archaic) king	From Old Khmer [Term?], Cognate with Modern Khmer កម្រតេងអញ (kâmrôténgʼânh).<br> Orthographic กมรเตง<br>k m r e t ŋ<br> Phonemic<br>{Short}<br>กะ-มะ-ระ-เต็ง<br>k a – m a – r a – e t ˘ ŋ<br><br>กัม-มะ-ระ-เต็ง<br>k ạ m – m a – r a – e t ˘ ŋ<br><br> Romanization Paiboon gà-má-rá-dteng gam-má-rá-dteng<br> Royal Institute ka-ma-ra-teng kam-ma-ra-teng<br> (standard) IPA⁽ᵏᵉʸ⁾ /ka˨˩.ma˦˥.ra˦˥.teŋ˧/⁽ᴿ⁾ /kam˧.ma˦˥.ra˦˥.teŋ˧/⁽ᴿ⁾
กมรเตงอัญ	noun	1	(1) (archaic) my lord (2) (archaic) my king	From Old Khmer [Term?], Cognate with Modern Khmer កម្រតេងអញ (kâmrôténgʼânh).<br> Orthographic กมรเตงอัญ<br>k m r e t ŋ ɒ ạ ɲ<br> Phonemic<br>{Short}<br>กะ-มะ-ระ-เต็ง-อัน<br>k a – m a – r a – e t ˘ ŋ – ɒ ạ n<br><br>กัม-มะ-ระ-เต็ง-อัน<br>k ạ m – m a – r a – e t ˘ ŋ – ɒ ạ n<br><br> Romanization Paiboon gà-má-rá-dteng-an gam-má-rá-dteng-an<br> Royal Institute ka-ma-ra-teng-an kam-ma-ra-teng-an<br> (standard) IPA⁽ᵏᵉʸ⁾ /ka˨˩.ma˦˥.ra˦˥.teŋ˧.ʔan˧/⁽ᴿ⁾ /kam˧.ma˦˥.ra˦˥.teŋ˧.ʔan˧/⁽ᴿ⁾
กร	noun	1	(1) (elegant, literary, poetic) hand; arm. (2) (royal) (พระ~) hand; arm. (3) (chiefly as a suffix) doer, performer; maker, creator, producer, causer.	From Old Khmer ករ (kara, “hand; finger”); ultimately from Pali kara (“producing, causing, forming, making, doing; maker, doer”) or Sanskrit कर (kara, “doer, maker, causer; doing, making, producing, causing”). Cognate with Khmer ករ (kɑɑ); Lao ກອນ (kǭn). Related to การ (gaan), กรรม (gam), กรณี (gà-rá-nii), กรณีย์.
กร	noun	2	(elegant, chiefly in combination) light.	From Pali kara (“ray”).
กรกฎ	name	1	(ราศี~) (astrology, astronomy) Cancer.	Borrowed from Sanskrit कर्कट (karkaṭa, “crab”).
กรกฎ	noun	1	crab.	Borrowed from Sanskrit कर्कट (karkaṭa, “crab”).
กรณฑ์	noun	1	(1) jar with a lid (2) (arithmetic, dated) radical; root	Borrowed from Sanskrit करण्ड (karaṇḍa).
กรณี	noun	1	(1) case; incident. (2) circumstances; causes.	From Sanskrit करणी (karaṇī) or Pali karaṇī.
กรม	verb	4	(somewhat archaic) Alternative form of ตรม (dtrom)	From Old Khmer ក្រ (kra), ក្រហ (kraha), ក្រោ (kro), ក្ររ (krara), គ្រ (gra, “destitute, poor; difficult, hard; insufficient, scarce; harsh; painful; severe; etc”). Compare Modern Khmer ក្រ (krɑɑ).
กรม	noun	5	(archaic) arrangement, order; class, grade, rank; course, way; procedure, process; succession, series.	From Old Khmer ក្រម (krama), ក្រំម (kraṃma, “arrangement, order; class, grade, rank; course, way; procedure, process; succession, series”). Compare Modern Khmer ក្រម (krɑm).
กรม	noun	6	(archaic) law; ordinance; regulation; rule.	From Old Khmer ក្រម (krama), ក្រំម (kraṃma, “law; ordinance; regulation; rule”). Compare Modern Khmer ក្រម (krɑm).
กรม	noun	7	(1) unit of armed men in the government system, commanded by a chief officer called เจ้ากรม (jâao-grom) and a deputy chief officer called ปลัดกรม (bpà-làt-grom). If the chief officer is a royal person, he or she is called เจ้าต่างกรม (jâao-dtàang-grom) and may be given one of the following บรรดาศักดิ์ (ban-daa-sàk, “noble rank”): (from highest to lowest) กรมพระยา (grom-prá-yaa), กรมพระ (grom-má-prá), กรมหลวง (grom-má-lǔuang), กรมขุน (grom-má-kǔn), กรมหมื่น (grom-má-mʉ̀ʉn). (2) highest governmental department, roughly equivalent to modern-day ministry. (3) (government) governmental department, often commanded by a chief officer called อธิบดี (à-tí-bɔɔ-dii, “director-general”), subject to กระทรวง (grà-suuang, “ministry”) or ทบวง (tá-buuang, “bureau”), and divided into กอง (gɔɔng, “division”). (4) (sometimes colloquial) military agency; military base; military unit.	Possibly from Old Khmer ក្រម (krama), ក្រំម (kraṃma, “class, grade, rank (within a hierarchy)”). Compare Modern Khmer ក្រម (krɑm), ក្រុម (krom).
กรรปุระ	noun	1	(poetic, royal) (พระ~) elbow.	From corruption of Sanskrit कूर्पर (kūrpara, “elbow”).
กรรม	clas	1	(law) Classifier for criminal acts and criminal offences.	From Pali kamma (“action; activity”), probably via Old Khmer -កម្ម (-kamma, “action, deed”), probably with some input from Sanskrit कर्मन् (karman, “action; activity”); probably via Old Khmer -កម៌្ម (-karmma, “action, deed”). The regular derivative of the Sanskrit word is synonymous กรรม์ (gan).
กรรม	intj	1	(Internet slang) used to express disappointment, frustration, or pity.	From Pali kamma (“action; activity”), probably via Old Khmer -កម្ម (-kamma, “action, deed”), probably with some input from Sanskrit कर्मन् (karman, “action; activity”); probably via Old Khmer -កម៌្ម (-karmma, “action, deed”). The regular derivative of the Sanskrit word is synonymous กรรม์ (gan).
กรรม	noun	1	(1) death. (2) act; action; activity; conduct; deed. (3) business; employment; occupation; work. (4) ceremony; rite. (5) sin; wrongful deed. (6) mishap; misfortune. (7) karma: retributive justice; effect of past deeds; fate; destiny. (8) (grammar) object.	From Pali kamma (“action; activity”), probably via Old Khmer -កម្ម (-kamma, “action, deed”), probably with some input from Sanskrit कर्मन् (karman, “action; activity”); probably via Old Khmer -កម៌្ម (-karmma, “action, deed”). The regular derivative of the Sanskrit word is synonymous กรรม์ (gan).
กรรมการ	noun	1	(1) (archaic) attendant; servant; slave; worker. (2) member (of a board, committee, commission, council, etc). (3) judge; referee; umpire.	From กรรม (gam, “act, action, activity, deed; business, employment, work; etc”) + การ (gaan, “affair; business; duty; mission; work; etc”). Compare Modern Khmer កម្មការ (kɑɑmmɔɔkaa).
กรรมวาจก	noun	1	(grammar) passive.	From กรรม (gam, “object”) + วาจก (“declarer; expresser; speaker”); ultimately from Sanskrit कर्म (karma) + वाचक (vācaka). Cognate with Khmer កម្មវាចក (kâmmôvéachkâ).
กรรไกร	noun	1	scissors.	Corrupted from กรรไตร, from Khmer កន្ត្រៃ (kɑɑntray), from Sanskrit कर्तरी (kartarī) or कर्तरि (kartari).
กรวด	noun	1	pebble; gravel.	From Khmer ក្រួស (kruəh).
กรวย	noun	1	(1) (geometry) (รูป~, ทรง~) cone. (2) other conical object such as icecream cone or funnel. (3) (ขนม~) a kind of dessert shaped like a cone. (4) conical container made of banana leaves.	From Khmer ត្រួយ (truəy, “shoot (of a plant); conical container”).
กรวย	noun	2	(1) a kind of plant, Horsfieldia irya. (2) a kind of plant, Casearia grewiifolia.	From Khmer ជ្រួយ (cruəy, “Casearia sp.”).
กรวย	verb	3	(archaic) to spear (for fish).	Compare Khmer ពួយ (puəy, “to throw (something long and pointed)”) (whence Thai พวย (puai)).
กรอง	noun	1	(poetry) bangle	From Old Khmer ត្រង (traṅa, “to screen; to strain; to filter”). Cognate with Khmer ត្រង (trɑɑng).
กรอง	verb	1	(1) to filter (2) to braid (3) to string (garland)	From Old Khmer ត្រង (traṅa, “to screen; to strain; to filter”). Cognate with Khmer ត្រង (trɑɑng).
กระ	noun	1	(เต่า~) hawksbill sea turtle (Eretmochelys imbricata).	From Khmer ក្រាស់ (krah, “thick”).
กระจก	noun	1	(1) pane, piece, or sheet of glass. (2) (ophthalmology) (ต้อ~) cataract: eye abnormality. (3) (zoology) the glass catfish (Kryptopterus bicirrhis Valenciennes), of the family Siluridae. (4) (colloquial, shortened from กระจกเงา) mirror.	From Sanskrit काचक (kācaka, “glass”). Compare Khmer កញ្ចក់ (kɑɑkɑñcɑk).
กระจอก	noun	3	(archaic, poetic) nail, as fingernail, toenail, claw, talon, etc.	From Old Khmer ក្រចោក៑ (kracok, “nail, as fingernail, toenail, claw, talon, etc”). Cognate with Modern Khmer ក្រចក (krɑɑcɑɑk).
กระจอก	adj	4	(1) (archaic, of a bodily organ, especially a leg or foot) lame; crippled; disabled. (2) (slang, derogatory, offensive, of work, performance, quality, etc) inferior; poor; low. (3) (slang, derogatory, offensive, of a person) inferior; insignificant; good for nothing.	From Old Khmer *ក្ចក៑ (*kcak), ក្ចោក៑ (kcok, “to limp, to hobble; lame”). Cognate with Modern Khmer ខ្ចក (khcɑɑk).
กระจอก	verb	4	(archaic) to limp; to hobble.	From Old Khmer *ក្ចក៑ (*kcak), ក្ចោក៑ (kcok, “to limp, to hobble; lame”). Cognate with Modern Khmer ខ្ចក (khcɑɑk).
กระจับปี่	noun	1	(music) A plucked, long-necked fretted lute used in the classical music of Central Thailand.	From Javanese ꦏꦕꦥꦶ (kacapi). Compare Indonesian kecapi, Sundanese kacapi, Maguindanaon kutiyapi, Maranao kotyapi, Subanon kotapi, Bukidnon kudyapi, and Palawan kusyapi. Ultimately from Sanskrit कच्छपी (kacchapī), a kind of lute (so named because it is similar in shape to the tortoise; compare तेस्तुदो (testudo)).
กระจาด	noun	1	widemouthed short round handleless basket.	Possibly from Khmer ក្រចាស (krɑɑcaah).
กระจาย	verb	1	(1) to circulate; to disseminate; to distribute; to propagate; to spread. (2) to dissipate; to disperse; to scatter.	From ขจาย (kà-jaai), from Khmer ខ្ចាយ (khcaay).
กระชอน	noun	1	strainer; sieve; colander	Compare Khmer ជន (cɔɔn).
กระชาย	noun	1	fingerroot (Boesenbergia rotunda).	From Khmer ខ្ជាយ (khciəy).
กระซิบ	verb	1	to whisper.	From Khmer ខ្សឹប (khsəp).
กระฎุมพี	noun	1	(1) bourgeois (2) bourgeoisie	Derived from Sanskrit कुटुम्बिन् (kuṭumbin).
กระดอ	noun	1	(colloquial, vulgar) penis	Borrowed from Khmer ក្ដ (kdɑɑ, “penis, dick”).
กระดังงา	noun	1	Cananga odorata, ylang ylang.	Compare Khmer ក្ដាំងងា (kdangngiə).
กระดาน	adj	1	(colloquial) flat like a board.	Extended from ขดาน (kà-daan), from Old Khmer ខ្តារ៑ (khtār).
กระดาน	noun	1	(1) (classifier แผ่น) board; plank. (2) (colloquial) (classifier แผ่น) board for writing, drawing, etc, as slate, chalkboard, markerboard, etc. (3) (slang, sometimes offensive) flat chest; flat-chested woman.	Extended from ขดาน (kà-daan), from Old Khmer ខ្តារ៑ (khtār).
กระดานดำ	noun	1	blackboard.	Calque of English blackboard. Same as กระดาน (grà-daan) + ดำ (dam). Cognate with Lao ກະດານດໍາ (ka dān dam).
กระดาษ	noun	1	paper.	Uncertain. Compare Portuguese cartas, cartaz; Malay kertas (from Arabic قَرْطَاس (qarṭās)); and Khmer ក្រដាស (krɑɑdaah).
กระดาษทิชชู	noun	1	tissue paper.	From กระดาษ (grà-dàat, “paper”) + ทิชชู (tít-chûu, “tissue”); perhaps calque of English tissue paper.
กระดุม	noun	1	button.	From ดุม (dum). Cognate with Lao ກະດຸມ (ka dum). Compare Khmer ក្ឌុំ (kdum).
กระดูก	noun	1	bone.	From ดูก (dùuk). Cognate with Northern Thai ᨠᨯᩪᨠ, Lao ກະດູກ (ka dūk).
กระด้ง	noun	1	winnowing basket; widemouthed flat round handleless basket.	Cognate with Lao ກະດົ້ງ (ka dong) or ດົ້ງ (dong), Shan လူင်ႈ (lūūng), Tai Nüa ᥘᥨᥒᥲ (lòng), Phake ꩫုင် (nuṅ).
กระต่าย	noun	1	(1) any of several mammals of the family Leporidae, as a rabbit, hare, etc. (2) a coconut grater.	Cognate with Lao ກະຕ່າຍ (ka tāi), Lü ᦂᦎᦻᧈ (k̇ṫaay¹), Shan ပၢင်တၢႆး (pǎǎng tááí), Tai Nüa ᥙᥣᥒ ᥖᥣᥭᥰ (paang täay).<br>Compare Mon ဗတာဲ.
กระทง	adj	1	(1) (of a fowl) aged around three months. (2) (of a rooster) that has just learnt how to crow.	From Old Chinese 鐙 (OC *tɯːŋ, *tɯːŋs, “ritual vessel or lamp”).<br>Notes for Old Chinese notations in the Baxter–Sagart system: /*k-tˤəŋ/
กระทง	noun	1	(1) container made in various forms of banana leaves or other leaves. (2) (of a text, passage, etc) division; part; section. (3) (law) count: distinct charge or cause of action. (4) (nautical) stretcher. (5) (botany) the plant Celastrus paniculatus Willd. of the family Celastraceae.	From Old Chinese 鐙 (OC *tɯːŋ, *tɯːŋs, “ritual vessel or lamp”).<br>Notes for Old Chinese notations in the Baxter–Sagart system: /*k-tˤəŋ/
กระทรวง	noun	1	(1) (archaic) category; group; kind; sort; type. (2) (archaic) course; pattern; procedure; process; way. (3) (government) department; ministry.	Compare Khmer ក្រសួង (krɑɑsuəng); Lao ກະຊວງ (ka sūang).
กระทะ	noun	1	frying pan.	Possibly from Old Khmer កដាហ (kaṭāha), កទាហ (kadāha), គទាហ (gadāha), ខ្ទាះហ (khdāḥha, “frying pan”), and thus cognate with Modern Khmer ខ្ទះ (khtĕəh).
กระทำ	verb	1	(literary) to do; to perform; to carry out.	Cognate with Northern Thai ᨠ᩠ᨴᩣᩴ, Khün ᨠ᩠ᨴᩣᩴ, Lao ກະທຳ (ka tham), Lü ᦂᦑᧄ (k̇tam).
กระทุง	noun	1	(1) (zoology) (นก~) (classifier ตัว) spot-billed pelican: the bird Pelecanus philippensis of the family Pelecanidae. (2) (zoology) (วงศ์~, วงศ์นก~) Pelecanidae. (3) (zoology) (อันดับ~, อันดับนก~) Pelecaniformes. (4) (by extension) (นก~) (classifier ตัว) any pelican.	Uncertain. Perhaps from กระ (grà) + ทุง (tung). Compare Khmer ទុង (tung, “pelican”); Lao ກະທຸງ (ka thung, “pelican”).
กระท่อม	noun	1	cottage; hut.	From Khmer ខ្ទម (khtɔɔm).
กระบวย	noun	1	dipper; ladle; scoop.	Cognate with Lao ບວຍ (buāi) or ກະບວຍ (ka buāi), Lü ᦢᦽ (ḃoy), Shan မူၺ် (mǒǐ) or ဝူၺ် (wǒǐ), Tai Nüa ᥛᥨᥭ (moy), Saek โบ๋ย. Compare Middle Chinese 瓢 (MC biᴇu, “gourd ladle”).
กระบอง	noun	1	club; bat; baton	From Khmer ដំបង (dɑmbɑɑng). Cognate with Lao ກະບອງ (ka bǭng).
กระบี่	noun	1	(poetic) monkey.	From Pali kapi, Sanskrit कपि (kapi).
กระบือ	adj	1	(humorous) Synonym of ควาย (kwaai)	From Pre-Angkorian Old Khmer ក្របិ (krapi), ក្របី (krapī), or Angkorian Old Khmer ក្របិ (krapi), ក្របី (krapī), ក្របិយ៑ (krapiy), ក្របិយ្យ៑ (krapiyy), ក្របីយ្យ៑ (krapīyy, “water buffalo”), from Proto-Mon-Khmer *krpiʔ ~ *krpiiw ~ *krpuʔ ~ *(kr)puh (“buffalo”). Cognate with Modern Khmer ក្របី (krɑɑbəy), Malay kerbau, Tagalog kalabaw. Doublet of คาราบาว.
กระบือ	noun	1	(formal for the sense "water buffalo", humorous for the others) Synonym of ควาย (kwaai)	From Pre-Angkorian Old Khmer ក្របិ (krapi), ក្របី (krapī), or Angkorian Old Khmer ក្របិ (krapi), ក្របី (krapī), ក្របិយ៑ (krapiy), ក្របិយ្យ៑ (krapiyy), ក្របីយ្យ៑ (krapīyy, “water buffalo”), from Proto-Mon-Khmer *krpiʔ ~ *krpiiw ~ *krpuʔ ~ *(kr)puh (“buffalo”). Cognate with Modern Khmer ក្របី (krɑɑbəy), Malay kerbau, Tagalog kalabaw. Doublet of คาราบาว.
กระป๋อง	clas	1	Classifier for tin cans, cans of soda or beverages.	Compare Khmer កំប៉ង់ (kɑmpong), កំប៉ុង (kɑmpong); Lao ກະປ່ອງ (ka pǭng).
กระป๋อง	noun	1	can; tin can.	Compare Khmer កំប៉ង់ (kɑmpong), កំប៉ុង (kɑmpong); Lao ກະປ່ອງ (ka pǭng).
กระพัน	adj	1	invulnerable.	From Malay kebal.
กระยาหาร	noun	1	(of a royal person) food; meal.	From กระยา (“food; meal”) + อาหาร (aa-hǎan, “food; meal”). Compare Khmer ក្រយាហារ (krɑɑyiəhaa).
กระสอบ	noun	1	sack.	From Malay kesuh.
กระสา	noun	1	(นก~) heron, stork	Compare Lao ກະສາ (ka sā), Khmer ក្រសារ (krɑɑsaa), Portuguese garça.
กระสาย	noun	1	solvent; decoction; infusion (in the preparation of medicines).	From Tamil கஷாயம் (kaṣāyam), from Sanskrit कषाय (kaṣāya).
กระหวัด	verb	1	(1) to recall; to call to mind. (2) to embrace; to cuddle.	Compare Khmer គ្រវាស (krɔɔviəh).
กระอัก	verb	1	to cough up	Compare Khmer ក្អក (kʼɑɑk, “to cough”).
กระเจี๊ยว	noun	1	(colloquial) penis.	Changed from เจี๊ยว (jíao), from Teochew 鳥／鸟 (ziao2/ziou2, “bird”).
กระเชอ	noun	1	(1) krachoe, a type of widemouthed woven basket, often with no handle. (2) (archaic) a unit of volume, equivalent to the amount this basket would hold. The standardised unit corresponds to 5 litres.	Possibly from corruption of Thai กรรเชอ, from Pre-Angkorian Old Khmer kañje (“large woven basket”), thus cognate with Modern Khmer កញ្ជើ (kɑɑkɑñcəə).
กระเทียม	noun	1	garlic.	Compare Khmer ខ្ទឹម (ktɨm, “garlic”).

กระเบื้อง	noun	1	tile.	Cognate with Southern Thai เบื้อง, Lao ກະເບຶ້ອງ (ka bưang), Shan မိူင်ႈ (mōēng) or ဝိူင်ႈ (wōēng).
กระเป๋า	noun	1	bag; pouch; wallet; purse.	Compare Lao ກະເປົາ (ka pao) or ກະເປົ໋າ (ka pao), Khmer កប៉ៅ (kɑɑkɑpaw) or កាប៉ៅ (kaapaw), Middle Chinese 包 (MC pˠau).
กระเรียน	noun	1	(1) (zoology) sarus crane: the bird Grus antigone of the family Gruidae. (2) (bird) any crane.	Perhaps from Old Khmer ក្រ្យេល៑ (kryel) or Angkorian Old Khmer ក្រ្យល៑ (kryal), ក្រ្យាល៑ (kryāl), កយ៌្យល៑ (karyyal, “sarus crane”). Cognate with Modern Khmer ក្រៀល (kriəl, “sarus crane”).
กระแส	noun	1	(1) (somewhat archaic) (เส้น~) thread or wire used to delimit land. (2) (as of a river, a wind, electricity, etc) current; flow; stream. (3) (royal) (พระ, พระราช~) utterance; word. (4) (as of a phenomenon, feeling, emotion, etc) wave. (5) (figurative) style, way; trend, vogue.	From Angkorian Old Khmer ខ្សេ, ក្សេ, ក្ឞេ (“line; thread; string; cord; etc”). Cognate with Modern Khmer ខ្សែ (khsae); Lao ກະແສ (ka sǣ).
กระโถน	noun	1	vessel serving as a receptacle for trash, spit, excrement, etc: cuspidor, spittoon, chamber pot, urinal, etc.	Possibly from Old Khmer កថោរ៑ (kathor, “a vessel of unidentified form and function, perhaps a cuspidor”). Compare Modern Khmer កន្ថោរ (kɑɑkɑnthao).
กรัง	noun	2	(poetic) mound.	From Khmer ក្រាំង (krang).
กรัม	noun	1	gram.	From English gram. Cognate with Lao ກຣາມ (ka rām).
กราบ	adv	1	with deep submission, respect, or reverence as if performing prostration.	From Old Khmer ក្រាប (krāpa), ក្រាប្ប (krāppa), ក្រប្ប (krâppa, “to lower oneself to the ground in token of submission: to crouch, to squat, to prostrate oneself, etc; to show submission, respect, or reverence; to be submissive, respectful, or reverent; etc”). Cognate with Modern Khmer ក្រាប (kraap), Lao ກາບ (kāp). Extended as Thai กำราบ (gam-ràap).
กราบ	verb	1	to prostrate oneself in order to show deep submission, respect, or reverence.	From Old Khmer ក្រាប (krāpa), ក្រាប្ប (krāppa), ក្រប្ប (krâppa, “to lower oneself to the ground in token of submission: to crouch, to squat, to prostrate oneself, etc; to show submission, respect, or reverence; to be submissive, respectful, or reverent; etc”). Cognate with Modern Khmer ក្រាប (kraap), Lao ກາບ (kāp). Extended as Thai กำราบ (gam-ràap).
กราฟ	noun	1	graph.	From English graph. Cognate with Lao ກາຟ (kāp).
กริช	noun	1	kris.	From Malay keris, from Javanese keris, from Old Javanese ngiris.
กริยา	noun	1	(grammar) (คำ~) verb.	From Sanskrit क्रिया (kriyā, “verb”).
